                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2107,                0.99586,                0.99994,                 2.4487,               0.004797,               0.004797,               0.004797
                      2,                0.17849,                0.99822,                      1,                 2.4302,              0.0086431,              0.0086431,              0.0086431
                      3,                0.12559,                0.99971,                      1,                 2.4271,              0.0080156,              0.0080156,              0.0080156
                      4,                0.08781,                0.99971,                      1,                 2.4262,              0.0070234,              0.0070234,              0.0070234
                      5,                0.07337,                      1,                      1,                  2.426,              0.0060312,              0.0060312,              0.0060312
                      6,                0.05987,                0.99994,                      1,                 2.4259,              0.0050389,              0.0050389,              0.0050389
                      7,                0.05007,                      1,                      1,                 2.4259,              0.0040467,              0.0040467,              0.0040467
                      8,                0.04429,                      1,                      1,                 2.4259,              0.0030545,              0.0030545,              0.0030545
                      9,                 0.0406,                      1,                      1,                 2.4259,              0.0020623,              0.0020623,              0.0020623
                     10,                0.03687,                      1,                      1,                 2.4258,              0.0010701,              0.0010701,              0.0010701
