                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.69648,                 0.9931,                0.99994,                 2.4409,              0.0035566,              0.0035566,              0.0035566
                      2,                0.14816,                0.99787,                      1,                 2.4302,              0.0064111,              0.0064111,              0.0064111
                      3,                0.11796,                 0.9992,                      1,                 2.4275,              0.0080239,              0.0080239,              0.0080239
                      4,                0.09444,                 0.9996,                      1,                 2.4269,              0.0070358,              0.0070358,              0.0070358
                      5,                0.07399,                0.99977,                      1,                 2.4261,              0.0060478,              0.0060478,              0.0060478
                      6,                 0.0584,                0.99994,                      1,                 2.4259,              0.0050597,              0.0050597,              0.0050597
                      7,                0.04853,                0.99994,                      1,                 2.4259,              0.0040716,              0.0040716,              0.0040716
                      8,                0.04311,                      1,                      1,                 2.4259,              0.0030836,              0.0030836,              0.0030836
                      9,                0.03715,                0.99994,                      1,                 2.4259,              0.0020955,              0.0020955,              0.0020955
                     10,                0.03131,                      1,                      1,                 2.4259,              0.0011075,              0.0011075,              0.0011075
