                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1653,                0.99455,                      1,                 2.3502,              0.0033325,              0.0033325,              0.0033325
                      2,                0.20682,                0.99737,                      1,                 2.3305,              0.0065998,              0.0065998,              0.0065998
                      3,                0.18602,                0.99615,                      1,                 2.3299,              0.0098012,              0.0098012,              0.0098012
                      4,                0.18768,                0.99923,                      1,                 2.3246,               0.009703,               0.009703,               0.009703
                      5,                0.14465,                0.99936,                      1,                 2.3241,               0.009604,               0.009604,               0.009604
                      6,                0.12226,                0.99962,                      1,                 2.3231,               0.009505,               0.009505,               0.009505
                      7,                0.10843,                0.99962,                      1,                  2.323,               0.009406,               0.009406,               0.009406
                      8,                0.10559,                0.99981,                      1,                 2.3226,               0.009307,               0.009307,               0.009307
                      9,                 0.1076,                      1,                      1,                 2.3226,               0.009208,               0.009208,               0.009208
                     10,                0.10455,                      1,                      1,                 2.3224,               0.009109,               0.009109,               0.009109
                     11,                0.09488,                      1,                      1,                 2.3224,                0.00901,                0.00901,                0.00901
                     12,                0.09483,                0.99994,                      1,                 2.3224,               0.008911,               0.008911,               0.008911
                     13,                0.09702,                0.99994,                      1,                 2.3224,               0.008812,               0.008812,               0.008812
                     14,                0.09352,                0.99994,                      1,                 2.3223,               0.008713,               0.008713,               0.008713
                     15,                0.09293,                0.99994,                      1,                 2.3224,               0.008614,               0.008614,               0.008614
                     16,                0.09613,                0.99994,                      1,                 2.3223,               0.008515,               0.008515,               0.008515
