                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1651,                0.99365,                0.99994,                 2.3491,              0.0033325,              0.0033325,              0.0033325
                      2,                0.20773,                0.99814,                      1,                 2.3287,              0.0065998,              0.0065998,              0.0065998
                      3,                0.18247,                0.99827,                      1,                 2.3264,              0.0098012,              0.0098012,              0.0098012
                      4,                0.18842,                0.99885,                      1,                 2.3248,               0.009703,               0.009703,               0.009703
                      5,                  0.141,                0.99923,                      1,                 2.3241,               0.009604,               0.009604,               0.009604
                      6,                0.11771,                0.99897,                      1,                 2.3237,               0.009505,               0.009505,               0.009505
                      7,                0.11161,                0.99987,                      1,                 2.3226,               0.009406,               0.009406,               0.009406
                      8,                0.10617,                0.99994,                      1,                 2.3225,               0.009307,               0.009307,               0.009307
                      9,                0.10029,                      1,                      1,                 2.3224,               0.009208,               0.009208,               0.009208
                     10,                0.10548,                0.99987,                      1,                 2.3224,               0.009109,               0.009109,               0.009109
                     11,                0.10322,                0.99994,                      1,                 2.3224,                0.00901,                0.00901,                0.00901
                     12,                0.09642,                0.99994,                      1,                 2.3224,               0.008911,               0.008911,               0.008911
                     13,                0.09402,                0.99987,                      1,                 2.3224,               0.008812,               0.008812,               0.008812
                     14,                0.09791,                0.99987,                      1,                 2.3224,               0.008713,               0.008713,               0.008713
